pedido_id,data_pedido,loja,canal_aquisicao,n_itens,categoria_principal,receita_liquida,desconto_aplicado,cliente_id
PED000001,2025-07-17,Shopping Norte,Orgânico,1,Creatina,136.32,0.05,CLI01244
PED000002,2025-07-01,Shopping Norte,Instagram Ads,4,Barras e Snacks,192.85,0.05,CLI03328
PED000003,2025-07-23,Shopping Norte,Instagram Ads,2,Barras e Snacks,28.56,0.01,CLI03010
PED000004,2025-07-26,Centro,Instagram Ads,2,Barras e Snacks,181.11,0.06,CLI01842
PED000005,2025-07-12,Barra,Orgânico,2,Vitaminas,79.53,0.05,CLI01167
PED000006,2025-07-22,Shopping Norte,Busca Paga,2,Whey Protein,293.24,0.04,CLI01716
PED000007,2025-07-06,Centro,Instagram Ads,2,Creatina,166.99,0.02,CLI00877
PED000008,2025-07-26,Centro,Influencer,3,Whey Protein,327.48,0.06,CLI01370
PED000009,2025-07-08,Centro,Orgânico,3,Vitaminas,384.99,0.01,CLI04993
PED000010,2025-07-25,Barra,Orgânico,2,Vitaminas,193.98,0.02,CLI03357
PED000011,2025-07-26,Centro,Busca Paga,1,Bebidas Funcionais,11.21,0.06,CLI02480
PED000012,2025-07-10,Barra,Instagram Ads,2,Vitaminas,220.9,0.08,CLI03731
PED000013,2025-07-18,Shopping Norte,Orgânico,3,Whey Protein,477.53,0.0,CLI03747
PED000014,2025-07-13,Shopping Norte,Influencer,2,Bebidas Funcionais,117.46,0.08,CLI04108
PED000015,2025-07-26,Centro,Busca Paga,1,Vitaminas,54.42,0.01,CLI01626
PED000016,2025-07-25,Centro,Instagram Ads,2,Vitaminas,159.94,0.07,CLI00676
PED000017,2025-07-17,Centro,Orgânico,3,Bebidas Funcionais,290.7,0.06,CLI03767
PED000018,2025-07-22,Barra,Orgânico,1,Bebidas Funcionais,13.02,0.04,CLI04493
PED000019,2025-07-14,Barra,Instagram Ads,1,Bebidas Funcionais,11.05,0.01,CLI02783
PED000020,2025-07-13,Barra,CRM/Email,3,Creatina,470.27,0.05,CLI02983
PED000021,2025-07-14,Barra,Busca Paga,3,Vitaminas,95.65,0.06,CLI01192
PED000022,2025-07-25,Centro,Orgânico,3,Whey Protein,393.86,0.03,CLI01325
PED000023,2025-07-26,Barra,Instagram Ads,1,Barras e Snacks,16.67,0.04,CLI03603
PED000024,2025-07-09,Centro,Influencer,1,Creatina,108.84,0.0,CLI01959
PED000025,2025-07-22,Shopping Norte,CRM/Email,4,Creatina,513.83,0.08,CLI03285
PED000026,2025-07-21,Barra,Busca Paga,2,Bebidas Funcionais,67.3,0.05,CLI03638
PED000027,2025-07-12,Shopping Norte,Orgânico,1,Whey Protein,201.89,0.08,CLI00668
PED000028,2025-07-09,Centro,Busca Paga,3,Creatina,442.58,0.03,CLI02509
PED000029,2025-07-01,Shopping Norte,Busca Paga,4,Barras e Snacks,94.16,0.03,CLI04470
PED000030,2025-07-27,Barra,Orgânico,1,Vitaminas,67.95,0.03,CLI04785
PED000031,2025-07-06,Barra,Influencer,2,Whey Protein,409.03,0.07,CLI01461
PED000032,2025-07-08,Shopping Norte,Orgânico,3,Creatina,491.74,0.02,CLI01824
PED000033,2025-07-18,Centro,Instagram Ads,1,Creatina,140.53,0.04,CLI04364
PED000034,2025-07-23,Barra,Orgânico,1,Barras e Snacks,17.01,0.05,CLI03279
PED000035,2025-07-02,Barra,CRM/Email,3,Bebidas Funcionais,78.95,0.05,CLI01332
PED000036,2025-07-06,Shopping Norte,Influencer,4,Whey Protein,331.07,0.04,CLI04301
PED000037,2025-07-04,Centro,CRM/Email,2,Vitaminas,186.68,0.05,CLI04456
PED000038,2025-07-05,Shopping Norte,Influencer,4,Vitaminas,287.05,0.07,CLI00524
PED000039,2025-07-11,Centro,Instagram Ads,2,Vitaminas,205.37,0.06,CLI02879
PED000040,2025-07-26,Shopping Norte,Busca Paga,4,Whey Protein,287.58,0.07,CLI04622
PED000041,2025-07-23,Centro,Busca Paga,3,Barras e Snacks,179.92,0.07,CLI04581
PED000042,2025-07-18,Centro,CRM/Email,3,Whey Protein,430.71,0.03,CLI02159
PED000043,2025-07-02,Shopping Norte,Orgânico,2,Vitaminas,119.85,0.03,CLI03515
PED000044,2025-07-24,Shopping Norte,Orgânico,3,Whey Protein,491.54,0.02,CLI02871
PED000045,2025-07-20,Barra,Busca Paga,1,Vitaminas,62.91,0.08,CLI04171
PED000046,2025-07-19,Barra,Orgânico,2,Whey Protein,235.1,0.07,CLI01142
PED000047,2025-07-03,Shopping Norte,Busca Paga,3,Vitaminas,96.29,0.01,CLI03745
PED000048,2025-07-09,Shopping Norte,Influencer,2,Vitaminas,199.41,0.05,CLI02833
PED000049,2025-07-02,Centro,Influencer,3,Barras e Snacks,238.3,0.06,CLI02636
PED000050,2025-07-19,Shopping Norte,Orgânico,3,Whey Protein,232.85,0.06,CLI00078
PED000051,2025-07-01,Shopping Norte,Instagram Ads,4,Creatina,368.69,0.04,CLI03055
PED000052,2025-07-07,Shopping Norte,CRM/Email,4,Vitaminas,325.13,0.03,CLI00923
PED000053,2025-07-27,Barra,Busca Paga,2,Whey Protein,213.6,0.0,CLI01866
PED000054,2025-07-08,Centro,Orgânico,1,Barras e Snacks,17.08,0.01,CLI03229
