ticket_id,shipment_id,created_at,region,topic,priority,first_response_hours,resolution_hours,first_response_sla_hours,sla_status,csat
TKT-00001,SHP-00540,2026-06-11 06:35:03.236892772,Sudeste,Endereço,Alta,6.41,0.5,4,Fora,3
TKT-00002,SHP-00571,2026-07-25 19:32:32.384697362,Nordeste,Atraso,Baixa,12.08,20.18,16,Dentro,1
TKT-00003,SHP-00372,2026-07-29 03:16:31.143008979,Sudeste,Reembolso,Alta,8.25,25.53,4,Fora,5
TKT-00004,SHP-00037,2026-07-04 06:03:38.812664419,Centro-Oeste,Avaria,Alta,5.09,12.3,4,Fora,5
TKT-00005,SHP-00458,2026-07-23 00:03:53.476308474,Sul,Onde está meu pedido?,Média,13.13,37.71,8,Fora,3
TKT-00006,SHP-00263,2026-06-11 09:40:31.787224638,Nordeste,Reembolso,Média,6.67,20.88,8,Dentro,5
TKT-00007,SHP-00207,2026-06-17 09:39:17.068307135,Nordeste,Endereço,Média,6.63,38.42,8,Dentro,4
TKT-00008,SHP-00217,2026-06-26 10:32:38.056341131,Nordeste,Reembolso,Média,7.71,47.47,8,Dentro,5
TKT-00009,SHP-00438,2026-07-25 18:42:44.725988220,Sul,Onde está meu pedido?,Média,0.47,27.94,8,Dentro,5
TKT-00010,SHP-00302,2026-06-28 20:22:18.521136895,Sudeste,Endereço,Média,7.85,14.15,8,Dentro,2
TKT-00011,SHP-00010,2026-07-20 23:20:47.498032044,Centro-Oeste,Reembolso,Média,5.52,23.57,8,Dentro,5
TKT-00012,SHP-00085,2026-06-12 21:01:39.623985522,Sudeste,Avaria,Média,8.36,5.54,8,Fora,2
TKT-00013,SHP-00757,2026-07-09 17:39:54.831830736,Centro-Oeste,Avaria,Baixa,9.28,26.61,16,Dentro,4
TKT-00014,SHP-00539,2026-07-03 07:08:53.004759500,Sudeste,Endereço,Alta,10.3,7.56,4,Fora,4
TKT-00015,SHP-00302,2026-06-29 04:32:33.895337460,Sudeste,Reentrega,Média,0.2,27.46,8,Dentro,2
TKT-00016,SHP-00403,2026-07-07 08:17:50.932608039,Centro-Oeste,Atraso,Baixa,0.2,35.37,16,Dentro,5
TKT-00017,SHP-00641,2026-06-26 22:29:56.124604235,Centro-Oeste,Atraso,Baixa,9.59,27.18,16,Dentro,4
TKT-00018,SHP-00882,2026-06-16 03:03:15.391604741,Nordeste,Onde está meu pedido?,Média,0.2,28.41,8,Dentro,3
TKT-00019,SHP-00146,2026-06-23 21:22:13.935019433,Sul,Endereço,Baixa,8.14,33.03,16,Dentro,5
TKT-00020,SHP-00653,2026-06-18 08:08:59.046306832,Sudeste,Onde está meu pedido?,Média,10.44,6.28,8,Fora,3
TKT-00021,SHP-00117,2026-07-23 07:50:40.833433292,Nordeste,Atraso,Baixa,7.58,37.56,16,Dentro,2
TKT-00022,SHP-00677,2026-07-16 21:56:05.781172623,Centro-Oeste,Reembolso,Baixa,0.2,34.53,16,Dentro,5
TKT-00023,SHP-00471,2026-07-30 17:58:16.849780433,Centro-Oeste,Reembolso,Baixa,0.92,21.26,16,Dentro,4
TKT-00024,SHP-00425,2026-07-06 06:01:50.051676077,Nordeste,Endereço,Média,9.26,37.83,8,Fora,2
TKT-00025,SHP-00021,2026-06-06 07:19:54.645374119,Sudeste,Reentrega,Média,2.21,19.01,8,Dentro,5
TKT-00026,SHP-00350,2026-07-30 17:30:27.413268166,Nordeste,Avaria,Alta,3.0,0.5,4,Dentro,4
TKT-00027,SHP-00064,2026-06-09 07:17:47.192357395,Nordeste,Atraso,Alta,2.73,12.41,4,Dentro,4
TKT-00028,SHP-00096,2026-06-10 16:03:38.643772057,Sul,Reembolso,Alta,5.74,14.95,4,Fora,4
TKT-00029,SHP-00672,2026-06-13 12:22:13.603797993,Sudeste,Reentrega,Baixa,10.49,47.11,16,Dentro,4
TKT-00030,SHP-00203,2026-07-11 22:43:38.253709940,Centro-Oeste,Reentrega,Alta,2.24,10.67,4,Dentro,4
TKT-00031,SHP-00747,2026-06-25 20:35:56.280421975,Sul,Endereço,Média,9.33,20.02,8,Fora,1
TKT-00032,SHP-00571,2026-07-25 09:20:53.396238300,Nordeste,Avaria,Média,9.56,38.28,8,Fora,4
TKT-00033,SHP-00210,2026-06-26 12:38:29.858640276,Centro-Oeste,Onde está meu pedido?,Alta,0.2,7.76,4,Dentro,4
TKT-00034,SHP-00257,2026-06-04 19:57:30.304882428,Nordeste,Avaria,Alta,0.2,4.45,4,Dentro,4
TKT-00035,SHP-00268,2026-06-23 05:37:41.348224811,Centro-Oeste,Onde está meu pedido?,Alta,4.44,9.7,4,Fora,2
TKT-00036,SHP-00489,2026-06-13 12:10:15.606618546,Centro-Oeste,Onde está meu pedido?,Média,13.24,16.41,8,Fora,3
TKT-00037,SHP-00115,2026-06-19 12:58:17.969607291,Sul,Atraso,Média,7.81,37.9,8,Dentro,4
TKT-00038,SHP-00345,2026-07-23 12:22:01.570716549,Nordeste,Atraso,Baixa,5.3,12.78,16,Dentro,5
