shipment_id,created_at,origin_hub,destination_region,route_id,carrier,service_level,customer_segment,weight_kg,distance_km,promised_at,delivered_at,delay_hours,delivery_status,freight_revenue,operational_cost,contribution_margin,margin_pct
SHP-00001,2026-06-06 14:00:00,HUB-BH,Nordeste,R-RJ-NE,Atlas Express,D+1,B2C,2.44,1561.4,2026-06-07 20:00:00,2026-06-07 21:38:55.642496861,1.65,Atraso leve,123.54,92.32,31.22,25.27
SHP-00002,2026-07-13 02:00:00,HUB-GO,Nordeste,R-SP-BH,Nexo Log,D+1,SMB,19.78,717.8,2026-07-14 08:00:00,2026-07-14 01:10:12.203733141,-6.83,No prazo,96.75,64.68,32.07,33.15
SHP-00003,2026-06-17 20:00:00,HUB-PR,Sul,R-BH-GO,Atlas Express,D+2,B2C,21.46,1248.7,2026-06-20 02:00:00,2026-06-20 07:05:20.387685396,5.09,Atraso leve,128.31,81.95,46.36,36.13
SHP-00004,2026-07-29 11:00:00,HUB-PR,Sul,R-PR-CO,ViaCargo,D+2,B2C,7.95,602.2,2026-07-31 17:00:00,2026-07-31 17:46:28.102371982,0.77,Atraso leve,73.97,40.27,33.7,45.56
SHP-00005,2026-06-21 01:00:00,HUB-GO,Sul,R-SP-BH,Atlas Express,D+2,B2C,16.87,510.1,2026-06-23 07:00:00,2026-06-23 09:51:00.620216159,2.85,Atraso leve,94.91,71.52,23.39,24.64
SHP-00006,2026-07-21 05:00:00,HUB-SP,Nordeste,R-BH-GO,Atlas Express,D+2,B2C,0.38,1262.3,2026-07-23 11:00:00,2026-07-23 09:55:22.652590024,-1.08,No prazo,100.76,72.52,28.24,28.03
SHP-00007,2026-07-01 14:00:00,HUB-RJ,Sudeste,R-BH-GO,RotaSul,D+1,B2C,11.41,910.9,2026-07-02 20:00:00,2026-07-03 03:04:33.603536040,7.08,Atraso leve,104.91,73.0,31.91,30.42
SHP-00008,2026-07-11 08:00:00,HUB-SP,Sul,R-BH-GO,RotaSul,D+1,B2C,5.31,662.5,2026-07-12 14:00:00,2026-07-12 07:31:29.745933548,-6.48,No prazo,81.86,45.8,36.06,44.05
SHP-00009,2026-07-26 07:00:00,HUB-SP,Centro-Oeste,R-SP-BH,Nexo Log,D+2,B2C,16.01,659.1,2026-07-28 13:00:00,2026-07-28 11:31:57.055371292,-1.47,No prazo,101.02,54.23,46.79,46.32
SHP-00010,2026-07-18 06:00:00,HUB-BH,Centro-Oeste,R-RJ-NE,Atlas Express,D+2,B2C,12.12,256.4,2026-07-20 12:00:00,2026-07-20 19:55:43.505511218,7.93,Atraso leve,68.55,43.3,25.25,36.83
SHP-00011,2026-07-07 16:00:00,HUB-RJ,Sudeste,R-SP-PR,RotaSul,Same Day,B2C,21.82,1124.0,2026-07-08 04:00:00,2026-07-08 20:37:48.312871223,16.63,Atraso crítico,123.93,110.36,13.57,10.95
SHP-00012,2026-07-28 23:00:00,HUB-SP,Sul,R-SP-RJ,ViaCargo,D+1,SMB,11.05,335.7,2026-07-30 05:00:00,2026-07-30 01:27:09.541435424,-3.55,No prazo,61.11,41.36,19.75,32.32
SHP-00013,2026-06-02 10:00:00,HUB-PR,Sul,R-RJ-NE,RotaSul,D+2,B2C,14.1,1045.0,2026-06-04 16:00:00,2026-06-04 19:46:47.892560685,3.78,Atraso leve,100.38,62.37,38.01,37.87
SHP-00014,2026-07-08 21:00:00,HUB-SP,Centro-Oeste,R-BH-GO,Atlas Express,D+1,B2C,14.19,285.4,2026-07-10 03:00:00,2026-07-09 19:00:00.000000000,-8.0,No prazo,79.78,54.05,25.73,32.25
SHP-00015,2026-06-18 22:00:00,HUB-BH,Sul,R-SP-RJ,RotaSul,Econômico,B2C,2.17,786.4,2026-06-22 22:00:00,2026-06-22 14:53:38.964910968,-7.11,No prazo,73.64,58.83,14.81,20.11
SHP-00016,2026-07-18 05:00:00,HUB-RJ,Centro-Oeste,R-PR-CO,Nexo Log,D+1,B2C,10.65,49.3,2026-07-19 11:00:00,2026-07-19 11:22:20.231279946,0.37,Atraso leve,57.59,45.19,12.4,21.53
