date,hub,capacity_shipments,processed_shipments,backlog_shipments,avg_sort_minutes,available_docks,absenteeism_pct,utilization_pct
2026-07-01,HUB-SP,1043,859,89,21.0,12,3.5,82.36
2026-07-01,HUB-RJ,813,725,53,29.5,7,9.4,89.18
2026-07-01,HUB-BH,683,611,24,26.0,4,8.0,89.46
2026-07-01,HUB-PR,1003,685,65,22.1,9,9.0,68.3
2026-07-01,HUB-GO,1035,870,51,34.7,11,9.6,84.06
2026-07-02,HUB-SP,1035,929,46,27.9,10,9.7,89.76
2026-07-02,HUB-RJ,743,546,74,23.7,5,2.8,73.49
2026-07-02,HUB-BH,771,645,19,32.3,5,2.1,83.66
2026-07-02,HUB-PR,1016,961,24,27.6,10,9.8,94.59
2026-07-02,HUB-GO,839,900,70,19.9,9,2.1,107.27
2026-07-03,HUB-SP,770,732,87,36.1,4,3.0,95.06
2026-07-03,HUB-RJ,954,819,13,38.8,11,3.6,85.85
2026-07-03,HUB-BH,783,581,53,41.0,5,9.0,74.2
2026-07-03,HUB-PR,763,589,21,33.8,9,4.6,77.2
2026-07-03,HUB-GO,1037,1072,108,38.5,5,9.2,103.38
2026-07-04,HUB-SP,798,721,33,29.5,9,7.6,90.35
2026-07-04,HUB-RJ,798,673,12,22.3,12,2.4,84.34
2026-07-04,HUB-BH,776,593,35,31.2,11,1.3,76.42
2026-07-04,HUB-PR,661,689,98,39.1,12,11.9,104.24
2026-07-04,HUB-GO,1020,932,0,40.8,12,4.4,91.37
2026-07-05,HUB-SP,885,882,77,36.6,10,5.2,99.66
2026-07-05,HUB-RJ,1053,884,68,35.7,9,10.7,83.95
2026-07-05,HUB-BH,913,884,78,41.0,8,11.5,96.82
2026-07-05,HUB-PR,730,515,59,20.2,9,7.2,70.55
2026-07-05,HUB-GO,1032,735,35,33.6,6,2.9,71.22
2026-07-06,HUB-SP,979,937,1,21.3,5,2.6,95.71
2026-07-06,HUB-RJ,1053,1044,53,32.3,10,7.5,99.15
2026-07-06,HUB-BH,1014,1012,15,27.4,12,2.6,99.8
2026-07-06,HUB-PR,764,702,12,31.1,9,10.7,91.88
2026-07-06,HUB-GO,732,777,131,23.0,6,3.4,106.15
2026-07-07,HUB-SP,1005,1026,55,32.3,4,6.2,102.09
2026-07-07,HUB-RJ,680,486,75,27.7,7,8.1,71.47
