carrier,route_id,shipments_30d,on_time_pct,claims_pct,cost_per_km_index,acceptance_pct
Atlas Express,R-SP-RJ,147,85.27,0.31,1.24,93.7
Atlas Express,R-SP-BH,214,91.16,0.72,1.3,82.96
Atlas Express,R-SP-PR,536,85.93,1.97,1.0,88.49
Atlas Express,R-BH-GO,282,89.33,0.33,0.89,82.45
Atlas Express,R-RJ-NE,584,78.1,1.12,1.46,95.94
Atlas Express,R-PR-CO,454,94.42,1.43,1.06,82.79
RotaSul,R-SP-RJ,335,94.37,1.34,1.11,90.76
RotaSul,R-SP-BH,451,92.29,0.72,1.32,96.44
RotaSul,R-SP-PR,460,78.16,0.59,1.13,96.46
RotaSul,R-BH-GO,509,95.37,1.57,0.9,92.87
RotaSul,R-RJ-NE,221,81.78,1.47,1.42,88.63
RotaSul,R-PR-CO,480,84.81,0.28,1.31,88.13
Nexo Log,R-SP-RJ,241,70.85,1.24,0.83,93.21
Nexo Log,R-SP-BH,200,79.03,2.19,0.87,90.51
Nexo Log,R-SP-PR,360,79.08,2.33,0.8,89.2
Nexo Log,R-BH-GO,278,78.01,2.01,1.49,82.75
Nexo Log,R-RJ-NE,199,92.77,1.71,0.95,85.44
Nexo Log,R-PR-CO,443,84.44,2.11,0.89,88.01
ViaCargo,R-SP-RJ,533,82.27,0.48,1.27,87.88
ViaCargo,R-SP-BH,235,82.06,2.19,1.37,82.67
ViaCargo,R-SP-PR,479,94.47,1.52,1.15,82.18
ViaCargo,R-BH-GO,568,94.16,1.45,1.27,95.54
ViaCargo,R-RJ-NE,516,90.47,2.32,0.93,85.44
ViaCargo,R-PR-CO,418,90.83,1.35,1.32,91.31
